VAR,Variable,UNIT,Measure,Country,Year,Value,Percentage of graduates contributed by country
HEDUMEGR,Medical graduates,NOMBRENB,Number,Australia,2019,4022,2.54
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Australia,2019,1022,2.56
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Australia,2019,2272,3.58
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Australia,2019,1388,8.36
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Australia,2019,27620,4.36
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Australia,2019,16797,3.71
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Australia,2019,10823,7.44
HEDUMEGR,Medical graduates,NOMBRENB,Number,Austria,2019,1242,0.78
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Austria,2019,243,0.61
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Austria,2019,319,0.5
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Austria,2019,141,0.85
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Austria,2019,2906,0.46
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Austria,2019,2906,0.64
HEDUMEGR,Medical graduates,NOMBRENB,Number,Belgium,2019,2020,1.27
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Belgium,2019,280,0.7
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Belgium,2019,569,0.9
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Belgium,2019,565,3.4
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Belgium,2019,3569,0.56
HEDUMEGR,Medical graduates,NOMBRENB,Number,Canada,2019,2856,1.8
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Canada,2019,553,1.38
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Canada,2019,1256,1.98
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Canada,2019,150,0.9
HEDUMEGR,Medical graduates,NOMBRENB,Number,Czechia,2019,1718,1.08
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Czechia,2019,293,0.73
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Czechia,2019,284,0.45
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Czechia,2019,171,1.03
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Czechia,2019,3065,0.48
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Czechia,2019,1400,0.31
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Czechia,2019,1665,1.14
HEDUMEGR,Medical graduates,NOMBRENB,Number,Denmark,2019,1234,0.78
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Denmark,2019,131,0.33
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Denmark,2019,187,0.29
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Denmark,2019,165,0.99
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Denmark,2019,2565,0.41
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Denmark,2019,2565,0.57
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Denmark,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Finland,2019,657,0.41
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Finland,2019,188,0.47
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Finland,2019,293,0.46
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Finland,2019,217,1.31
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Finland,2019,13367,2.11
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Finland,2019,4150,0.92
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Finland,2019,9217,6.34
HEDUMEGR,Medical graduates,NOMBRENB,Number,France,2019,6708,4.23
HEDUDNGR,Dentists graduates,NOMBRENB,Number,France,2019,1426,3.57
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,France,2019,2997,4.72
HEDUMWGR,Midwives graduates,NOMBRENB,Number,France,2019,864,5.2
HEDUNUGR,Nursing graduates,NOMBRENB,Number,France,2019,25358,4.01
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,France,2019,25358,5.6
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,France,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Germany,2019,10234,6.45
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Germany,2019,2463,6.16
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Germany,2019,2304,3.63
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Germany,2019,648,3.9
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Germany,2019,36498,5.76
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Germany,2019,36498,8.06
HEDUMEGR,Medical graduates,NOMBRENB,Number,Greece,2019,1449,0.91
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Greece,2019,204,0.51
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Greece,2019,339,0.53
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Greece,2019,235,1.41
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Greece,2019,8430,1.33
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Greece,2019,1368,0.3
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Greece,2019,7062,4.85
HEDUMEGR,Medical graduates,NOMBRENB,Number,Hungary,2019,1540,0.97
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Hungary,2019,320,0.8
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Hungary,2019,318,0.5
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Hungary,2019,116,0.7
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Hungary,2019,4885,0.77
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Hungary,2019,2437,0.54
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Hungary,2019,2448,1.68
HEDUMEGR,Medical graduates,NOMBRENB,Number,Iceland,2019,41,0.03
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Iceland,2019,7,0.02
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Iceland,2019,26,0.04
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Iceland,2019,10,0.06
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Iceland,2019,215,0.03
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Iceland,2019,117,0.03
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Iceland,2019,98,0.07
HEDUMEGR,Medical graduates,NOMBRENB,Number,Ireland,2019,1225,0.77
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Ireland,2019,95,0.24
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Ireland,2019,170,0.27
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Ireland,2019,121,0.73
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Ireland,2019,1427,0.23
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Ireland,2019,1427,0.31
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Ireland,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Italy,2019,10511,6.63
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Italy,2019,919,2.3
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Italy,2019,4785,7.53
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Italy,2019,659,3.97
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Italy,2019,11005,1.74
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Italy,2019,11005,2.43
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Italy,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Japan,2019,9003,5.68
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Japan,2019,2097,5.24
